name,Paper Soldier (feat. Joony),Happier Than Ever,Asiwaju,Bad Bad Bad (feat. Lil Baby),Stronger,Essence (feat. Tems),lost souls (with Brent Faiyaz),"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",Hallelujah (feat. Morgan Heritage),"III. Telegraph Ave. (""Oakland"" by Lloyd)",Sunbathe,Massive,Insecure,Dear Ex,Komasava (Comment Ça Va),imperfect for you,Rush,Guess featuring billie eilish,Demons,I'm Gonna Miss You,Video Games,Please Please Please,Vienna,Perfect (Exceeder) - Martijn Ten Velden Vocal Remix,Kiwi,Rehab (Winter In Paris),Good Days,Ex-Factor,He Loves Me (Lyzel in E Flat),Rehab (Winter In Paris),Garden Kisses,Gang Over Luv,In Love
Sunbathe,-0.7910342932439959,0.18498642115778613,0.5980676336456916,0.3735530823064653,0.5200121195148805,0.5932178954416728,-0.7807842123326574,-0.22505607998824456,0.6319429694962659,-0.4108410505267544,1.0000000000000002,-0.29482882205808425,-0.7507098299373036,0.3631134851037449,0.34764354991365504,-0.7417897849294425,-0.015258222477278498,-0.004438262137760653,-0.2788275578770157,0.6581874134553336,0.16608504901611876,0.674490258374699,-0.5108798787611356,-0.12092722190289544,-0.5127741695347683,-0.6210058722063707,-0.3459799514986939,0.7561981692085304,0.32564247230310056,-0.6210058722063707,-0.3444758217495153,-0.6087616515137566,0.8639234299592409
Massive,-0.03427036279445232,0.27150042117779705,-0.8423529087196835,-0.8741538849857996,0.05730047174098486,-0.541236612827184,0.42824673392748525,0.85629709859913,-0.13579450102285773,-0.0036407651734276882,-0.29482882205808425,1.0,-0.20722905761495736,-0.8849060635623319,-0.5801505196567335,0.4576819627819034,0.28494461539047833,-0.48614684959924087,-0.010347850063162153,-0.7643211275646025,0.4203690201491424,-0.7398101513977132,0.8099089964660493,-0.16010669797724192,0.415088241241925,0.30224513128545716,0.600717935796101,-0.45933432907557814,0.15027959436343083,0.30224513128545716,0.41562366328931455,0.05265653085803877,0.0578413063498219
Insecure,0.9802360194688187,-0.7387713515723963,0.05525080017566337,0.3052101771088506,-0.30950350592502057,0.06940829587609959,0.4657222774408564,0.04804897507709685,-0.5064956758315907,0.3983005213109682,-0.7507098299373036,-0.20722905761495736,0.9999999999999999,0.2776664104804522,0.3213631666263299,0.3547542805335714,0.32850780149094244,0.6406519738663179,0.33398778419553804,-0.4455730495768211,-0.7577704506133649,-0.16454087499826683,-0.17114570769001297,0.5781336539427695,0.3765581609051453,0.13106579058980855,-0.1009900675008939,-0.5377239795509483,-0.6696498773819712,0.13106579058980855,-0.31344268674144576,0.5256406503521517,-0.8935223895954757
Dear Ex,0.1258985656034364,-0.5561120065622259,0.930252281892819,0.954047687868939,0.3311196022436716,0.8072756506603893,-0.617282123030009,-0.5521056710281519,0.36882403780876605,0.20178738389100914,0.3631134851037449,-0.8849060635623319,0.2776664104804522,1.0000000000000002,0.885908802725125,-0.6889470942082488,0.16754064364927376,0.777800035432955,-0.1884462001104122,0.5325733460632803,-0.644050545533836,0.8819865459391426,-0.9611443741227288,0.5631565660805548,-0.13011377541970826,-0.6731781443476993,-0.47053974513339786,0.5545907908619497,-0.49368676846009435,-0.6731781443476993,-0.7471917788112431,-0.29700951440987144,-0.10934599013416907
Komasava (Comment Ça Va),0.2382406358685755,-0.7791735767808508,0.8419584020166696,0.8619258852825347,0.5580128801946733,0.9315437212320673,-0.5869819424698215,-0.10410892372156562,0.40467781302052114,0.23110478410266644,0.34764354991365504,-0.5801505196567335,0.3213631666263299,0.885908802725125,0.9999999999999998,-0.6920615765034299,0.6008113799632518,0.925893233368207,-0.1976517845532007,0.1701188111663747,-0.792019900805455,0.7782576533031107,-0.9206842656016858,0.8154415044228853,0.08485744227849104,-0.8532029155469929,-0.3608994514793266,0.43213379117432366,-0.6748602127321961,-0.8532029155469929,-0.9545916238683244,-0.3581753686102721,-0.10698838678980771
imperfect for you,0.46571092034118694,0.10399378192338689,-0.6788091332603445,-0.5367886256017697,-0.8373074028438551,-0.6912824915820711,0.9899992541967784,0.2637769201882052,-0.9115005358804963,-0.2744506235327255,-0.7417897849294425,0.4576819627819034,0.3547542805335714,-0.6889470942082488,-0.6920615765034299,1.0,-0.22986381035298642,-0.3840583964065783,0.7102856723850149,-0.505656859199215,0.10802800324876571,-0.9356086094474279,0.6962860603930131,-0.42628994738467535,-0.05637050142542467,0.9057789663554289,-0.0007908157060133446,-0.9377326213684146,0.3262756214186383,0.9057789663554289,0.5495569666727455,0.879357807772111,-0.3284516106086858
Rush,0.4076130467904463,-0.748784918429223,0.1466937424360173,0.18161801987179516,0.577084287486153,0.5419914340712316,-0.120933944688549,0.7283821438151229,0.17607728798655148,0.24442795231555603,-0.015258222477278498,0.28494461539047833,0.32850780149094244,0.16754064364927376,0.6008113799632518,-0.22986381035298642,0.9999999999999998,0.6714033526930545,-0.09582751335605076,-0.6225530594551273,-0.6255404155625858,0.09665216892614155,-0.27803321704303186,0.8230150031732746,0.4962958673384302,-0.6109208363339228,0.09388997915338404,-0.0983355303909915,-0.6758161712312744,-0.6109208363339228,-0.7281172423018685,-0.20061878280475698,-0.18284598087274784
Guess featuring billie eilish,0.5849406708927588,-0.9463936252348005,0.68198080063307,0.7924854022762756,0.3259174135328501,0.7952812495409027,-0.25227388241014176,0.017347193716967642,0.09049586040006166,0.2797715379254619,-0.004438262137760653,-0.48614684959924087,0.6406519738663179,0.777800035432955,0.925893233368207,-0.3840583964065783,0.6714033526930545,1.0,0.027630687326352387,-0.09305976861747442,-0.9535359283062789,0.5147972342025827,-0.7904671284849146,0.8837739591062546,0.19745040138183434,-0.6358375703318401,-0.35647309634558383,0.08377909709525443,-0.7835197237071481,-0.6358375703318401,-0.9179670206806857,-0.05014682369707694,-0.3979928654864282
Demons,0.41478968683856904,-0.26258172070048147,-0.013446284306922834,0.09454236200503989,-0.7979064804869623,-0.0484248955672005,0.7400261279808027,0.04613335400314376,-0.9113578421526639,-0.7085724190256163,-0.2788275578770157,-0.010347850063162153,0.33398778419553804,-0.1884462001104122,-0.1976517845532007,0.7102856723850149,-0.09582751335605076,0.027630687326352387,0.9999999999999999,-0.1252409299655477,-0.31465984281417736,-0.5147741411290766,0.07175256832736443,-0.30649794456774143,-0.5750247458131746,0.5511829215062144,-0.6888744112018491,-0.7626036819307185,0.3870926001134138,0.5511829215062144,-0.003999781155710358,0.921282483243815,-0.0008067992301289406
I'm Gonna Miss You,-0.5898896537976097,0.33226494221544617,0.6328421941997591,0.5152840716597384,-0.016332000750143787,0.2966831026135272,-0.5645387561923676,-0.8761586840080509,0.32962916758127087,-0.2944840654948449,0.6581874134553336,-0.7643211275646025,-0.4455730495768211,0.5325733460632803,0.1701188111663747,-0.505656859199215,-0.6225530594551273,-0.09305976861747442,-0.1252409299655477,1.0000000000000002,0.19390316212869804,0.6644928505335601,-0.5126837468633173,-0.36835956402353404,-0.6727749615661395,-0.18127735011695734,-0.48070166259592123,0.6736573916595138,0.4012938344833273,-0.18127735011695734,-0.020666402623813897,-0.26667626925166593,0.4912346826064151
